Date : 2024-06-05 14:20:23
Directory : c:\Users\Darío Romero\Desktop\My-Online-Phonebook\backend
Total : 74 files,  2232 codes, 123 comments, 390 blanks, all 2745 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Java            |         64 |      1,985 |         47 |        335 |      2,367 |
| Batch           |          2 |        121 |         51 |         37 |        209 |
| XML             |          1 |         80 |          0 |          6 |         86 |
| YAML            |          1 |         23 |          0 |          3 |         26 |
| Java Properties |          2 |         16 |         24 |          6 |         46 |
| Shell Script    |          1 |          4 |          1 |          3 |          8 |
| Properties      |          2 |          2 |          0 |          0 |          2 |
| SQL             |          1 |          1 |          0 |          0 |          1 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                    | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                       |         74 |      2,232 |        123 |        390 |      2,745 |
| . (Files)                                                                                                                               |          5 |        206 |         52 |         46 |        304 |
| src                                                                                                                                     |         33 |      1,260 |         12 |        336 |      1,608 |
| src\main                                                                                                                                |         32 |      1,251 |         12 |        331 |      1,594 |
| src\main\java                                                                                                                           |         31 |      1,243 |          0 |        328 |      1,571 |
| src\main\java\com                                                                                                                       |         31 |      1,243 |          0 |        328 |      1,571 |
| src\main\java\com\rest                                                                                                                  |         31 |      1,243 |          0 |        328 |      1,571 |
| src\main\java\com\rest\pruebarest                                                                                                       |         31 |      1,243 |          0 |        328 |      1,571 |
| src\main\java\com\rest\pruebarest (Files)                                                                                               |          1 |         39 |          0 |         12 |         51 |
| src\main\java\com\rest\pruebarest\config                                                                                                |          1 |         49 |          0 |          9 |         58 |
| src\main\java\com\rest\pruebarest\controllers                                                                                           |          6 |        568 |          0 |        113 |        681 |
| src\main\java\com\rest\pruebarest\exceptions                                                                                            |         12 |         72 |          0 |         34 |        106 |
| src\main\java\com\rest\pruebarest\helpers                                                                                               |          4 |        413 |          0 |        121 |        534 |
| src\main\java\com\rest\pruebarest\models                                                                                                |          4 |         68 |          0 |         16 |         84 |
| src\main\java\com\rest\pruebarest\repos                                                                                                 |          3 |         34 |          0 |         23 |         57 |
| src\main\resources                                                                                                                      |          1 |          8 |         12 |          3 |         23 |
| src\test                                                                                                                                |          1 |          9 |          0 |          5 |         14 |
| src\test\java                                                                                                                           |          1 |          9 |          0 |          5 |         14 |
| src\test\java\com                                                                                                                       |          1 |          9 |          0 |          5 |         14 |
| src\test\java\com\rest                                                                                                                  |          1 |          9 |          0 |          5 |         14 |
| src\test\java\com\rest\pruebarest                                                                                                       |          1 |          9 |          0 |          5 |         14 |
| stack-spring                                                                                                                            |          3 |         25 |          0 |          3 |         28 |
| target                                                                                                                                  |         33 |        741 |         59 |          5 |        805 |
